127.0.0.1 - - [02/Dec/2021:14:29:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:29:04 +0900] "GET /JspStudy/test2.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:29:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:29:25 +0900] "GET /JspStudy/js1/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:29:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:40:13 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:40:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:40:53 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:47:53 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:47:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:14:48:31 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:04:32 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:05:01 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:06:25 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:06:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:07:39 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:07:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:17:04 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:17:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Dec/2021:15:17:34 +0900] "GET /JspStudy/js1/test3.html HTTP/1.1" 200 842
